Phường ,ID,Tên địa điểm,Giờ mở cửa,Giá vé / Giá nước,Địa chỉ,Class1,Class2,Link TikTok,TestLat,TestLon,Lat,Lon
,P031,Lạc Tiên Giới Đà Lạt,7:00 - 20:00,Chỉ từ 100.000 VND/ người,"⅓ Lâm Sinh, Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 1/3 Lâm Sinh, Phường 5, Thành phố Đà Lạt, Lâm Đồng) ",Pure nature,Healing,https://www.tiktok.com/@tu_xe_dalat/video/7506720979754716434,119.492.946,1.084.315.292,"11,9492946","108,4315292"
,P032,Farm Thung lũng Gâu,9:00 - 17:30,Giá vé gồm nước: 60.000 VND/ người,"71 An Tôn, Phường 5, Đà Lạt, Lâm Đồng",Cafe,Healing,https://www.tiktok.com/@hamyhousedalat/video/7518282390452702482?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,119.346.808,1.084.110.365,"11,9346808","108,4110365"
,P033,Thác Cam Ly Đà Lạt,7:00 - 17:00,Chỉ từ 40.000 VND/ người,"8b Hoàng Văn Thụ, Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 8b Đường Hoàng Văn Thụ, Phường 5, Đà Lạt, Lâm Đồng) ","50% nature, 50% human",Sporty,https://www.tiktok.com/@qd_media_pro/video/7195921759030447386,119.418.046,1.084.208.479,"11,9418046","108,4208479"
Phường 6,P034,Nhà thờ Domaine de Marie:,7:00 - 17:00,N/A,"01 Ngô Quyền, Phường 6, Đà Lạt",History,Manmade,https://www.tiktok.com/@hoiuc_dalat/video/7446034904669834503,11.949.577,1.084.302.474,"11,9495770","108,4302474"
Phường 7 ,P035,Viện nghiên cứu sinh học Đà Lạt,"7:30 - 11:30, 13:30-17:00",20.000 VND/ người ,"116, Xô Viết Nghệ Tĩnh, Phường 7, TP Đà Lạt, Tỉnh Lâm Đồng",History,None,https://www.tiktok.com/@ha.didau/video/7270378807851273478?is_from_webapp=1&sender_device=pc&web_id=7448288262777325077,119.718.013,1.084.220.411,"11,9718013","108,4220411"
,P036,Đồi Đa Phú,N/A (Nên đi sáng sớm ngắm mây),N/A,"Phường 7, thành phố Đà Lạt",Pure nature,Healing,https://www.tiktok.com/@thiendibui.dalat/video/7428200339402263829?is_from_webapp=1&sender_device=pc&web_id=7448288262777325077,119.699.223,1.084.276.570,"11,9699223","108,4276570"
,P037,Đồi cỏ hồng Đà lạt,7:30 - 17:00,N/A,"Măng Lin, Phường 7, Thành Phố Đà Lạt",Pure nature,Healing,https://www.tiktok.com/@vivu.reviewdalat/video/7546558014824779015?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,119.804.418,1.083.954.977,"11,9804418","108,3954977"
,P038,Nông trại Puppy Farm Đà Lạt,7:30 - 17:30,Chỉ từ 100.000 VND/ người,"Cam Ly, Phường Lang Biang - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Cam Ly, Phường 7, Đà Lạt, Lâm Đồng) ",Manmade,Healing,https://www.tiktok.com/@nongtraicundalat/video/7504629105770401032,11.961.078,1.083.951.559,"11,9610780","108,3951559"
Phường 8 ,P039,Vườn ánh sáng Lumiere Đà Lạt,9:00 - 21:00,Chỉ từ 135.000 VND/ người,"222B Mai Anh Đào, Phường Lâm Viên - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 222B Đường Mai Anh Đào, Phường 8, Đà Lạt, Lâm Đồng) ",Manmade,Healing,https://www.tiktok.com/@dalatreviewtattantat/video/7313864905247968520,119.762.189,1.084.438.614,"11,9762189","108,4438614"
,P040,Thung lũng tình yêu Đà Lạt,7:30 - 22:00,Chỉ từ 260.000 VND/ người,"Mai Anh Đào, Phường Lâm Viên - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Đường Mai Anh Đào, Phường 8, Đà Lạt, Lâm Đồng) ","50% nature, 50% human",Sporty,https://www.tiktok.com/@didalatcungtruc/video/7536071998489873671,119.771.749,1.084.466.232,"11,9771749","108,4466232"
,P041,Đồi Mộng Mơ Đà Lạt,7:30 - 17:30,Chỉ từ 250.000 VND/ người,"5 Mai Anh Đào, Phường Lâm Viên - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Số 5 Đường Mai Anh Đào, Phường 8, Đà Lạt, Lâm Đồng) ",Healing,Healing,https://www.tiktok.com/@lagarden.villa/video/7518720636785659144,119.779.404,1.084.486.244,"11,9779404","108,4486244"
Phường 9 ,P042,Delight Park Dalat ,"Công viên: 09h00 - 22h00, Khu vực ánh sáng: 18:00 - 22:00",Từ 200.000 VND/ người,"Delight Park Dalat, 113 Hồ Xuân Hương, Ward 9, Đà Lạt, Lâm Đồng",Manmade,Healing,https://www.tiktok.com/@somewhere_in_dalat/video/7497398965156039943?is_from_webapp=1&sender_device=pc&web_id=7448288262777325077,119.582.632,1.084.744.012,"11,9582632","108,4744012"
,P043,Đồi Thông Hai Mộ,N/A,N/A,"đường Hồ Xuân Hương, phường 9, thành phố Đà Lạt",Pure nature,Healing,https://www.tiktok.com/@ngocnonlaa/video/7449045182206463249?q=%C4%91%E1%BB%93i%20th%C3%B4ng%20hai%20m%E1%BB%99&t=1761097205551,119.584.315,1.084.750.143,"11,9584315","108,4750143"
,P044,Vườn bí ngô khổng lồ Đà Lạt,7:00 - 11:30,Chỉ từ 10.000 VND/ người,"69 Hồ Xuân Hương, Phường Lâm Viên - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 69 Hồ Xuân Hương, Phường 9, Đà Lạt, Lâm Đồng) ",Manmade,"50% nature, 50% human",https://www.tiktok.com/@ivykechuyen.official/video/7539177013559528711,119.526.981,1.084.746.325,"11,9526981","108,4746325"
,P045,Biệt thự cổ Cô Giang ,7:00 - 17:30,N/A,"17 Cô Giang Phường 9, Đà Lạt, Lâm Đồng",History,Manmade,https://www.tiktok.com/@our.30s/video/7238168437577551110?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,119.472.094,1.084.584.960,"11,9472094","108,4584960"
,P046,Still Cafe,7:00 - 22:00,Giá nước: 47.000 VND/ người,"59 Nguyễn Trãi, Phường 9, TP. Đà Lạt ",Cafe,Healing,https://www.tiktok.com/@trongtamdalat/video/7204844274884791578,119.446.048,1.084.548.298,"11,9446048","108,4548298"
Phường 10 ,P047,Ga Đà Lạt,7:30 - 17:30,Vé cổng: 50.000 VND/ người,"7a Nguyễn Trãi, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( số 1 đường Quang Trung, phường 10, thành phố Đà Lạt, tỉnh Lâm Đồng)",History,None,https://www.tiktok.com/@thechoco.vn/video/7437356060291239176?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,119.437.529,1.084.558.994,"11,9437529","108,4558994"
,P048,Dinh Bảo Đại I Đà Lạt,7:00 - 17:30,Chỉ từ 50.000 VND/ người,"1 Trần Quang Diệu, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Số 1 Đ. Trần Quang Diệu, P10, Đà Lạt, Lâm Đồng) ",History,None,https://www.tiktok.com/@elricreviewer/video/7129364245531184410,119.406.613,1.084.697.172,"11,9406613","108,4697172"
,P049,Dinh Bảo Đại II Đà Lạt,7:00 - 17:30,Chỉ từ 40.000 VND/ người,"12 Trần Hưng Đạo, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 12 Trần Hưng Đạo, phường 10, Đà Lạt, Lâm Đồng) ",History,None,https://www.tiktok.com/@thaine812/video/7285002421691108615?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,119.366.812,1.084.494.196,"11,9366812","108,4494196"
,P050,Tiệm Cà Phê Bình Minh Ơi,Không có thông tin,Không có thông tin,"89 Hoàng Hoa Thám, Phường 10, TP. Đà Lạt ",Cafe,Healing,https://www.tiktok.com/@dalatdreamer/video/7531339217549511943?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,119.336.841,1.084.648.486,"11,9336841","108,4648486"
Phường 11 ,P051,Chùa Linh Phước Đà Lạt,7:00 – 17:00,N/A,"120 Tự Phước, Phường Xuân Trường - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 120 Tự Phước, Phường 11, Đà Lạt, Lâm Đồng) ",Spiritual,History,https://www.tiktok.com/@didauvaychau/video/7228840308673449221?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,119.457.174,1.084.989.541,"11,9457174","108,4989541"
,P052,Trạm Ký Ức Đà Lạt,7:00 - 22:00,Giá nước : Chỉ từ 45.000 VND/ người,"87 Huỳnh Tấn Phát, Phương Xuân Trường - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 87 Huỳnh Tấn Phát, Phường 11, Đà Lạt, Lâm Đồng) ",Healing,Cafe,https://www.tiktok.com/@hy.h.thik.i/video/7510898143936957704?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,119.487.546,1.084.923.957,"11,9487546","108,4923957"
,P053,Tiệm Cà Phê Túi Mơ To Đà Lạt,7:30 - 21:30,Giá nước : Chỉ từ 45.000 VND/ người,"Hẻm 31 Sào Nam, Phường Xuân Trường - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Hẻm 31 Sào Nam, Phường 11, Đà Lạt, Lâm Đồng) ",Cafe,Healing,https://www.tiktok.com/@hachireview74/video/7400276396662131976?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,119.434.662,1.084.850.796,"11,9434662","108,4850796"
,P054,Thị trấn Nobi Đà Lạt,7:30 - 18:00,Giá vé tham quan : Chỉ từ 45.000 VND/ người,"30/36 Nam Hồ, Phường Xuân Trường - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 30/36 Đ. Nam Hồ, Phường 11, Đà Lạt, Lâm Đồng) ",Manmade,Cafe,https://www.tiktok.com/@didalatcungtruc/video/7170531732700024090?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,119.482.916,1.084.798.433,"11,9482916","108,4798433"
,P055,Lời Của Gió Coffee & Buffet Nướng,7:30 - 22:00,Giá nước: 80.000VND,"Đường Huỳnh Tấn Phát, Phường 11, TP. Đà Lạt (gần dốc số 7) ",Eating,Cafe,https://www.tiktok.com/@didalatcungtruc/video/7370584459789258000?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,119.519.162,1.084.921.618,"11,9519162","108,4921618"
,P056,Đà Lạt Bunny Hill,7:00 - 22:00,Giá vé: Từ 60.000 VND/ người,"Dalat Bunny Hill Tự Tạo, Đường Tự Tạo, Phường 11, Đà Lạt, Lâm Đồng","50% nature, 50% human",Healing,https://www.tiktok.com/@tiemanhbaprangbo/video/7546854314422127880?is_from_webapp=1&sender_device=pc&web_id=7448288262777325077,119.496.383,1.085.028.632,"11,9496383","108,5028632"
,P057,Tiệm Cà Phê Cheo Veooo,24/7,Giá nước: 60.000 VND,"116 Hùng Vương, Phường 11, TP. Đà Lạt ",Cafe,Healing,https://www.tiktok.com/@bolonton_/video/7483739997804236040?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,119.394.102,1.084.816.260,"11,9394102","108,4816260"
Phường 12 ,P058,Cafe Chênh Vênh,7:00 - 22:00,70.000VND ,"550 TBĐ 48C, Phường 12, Đà Lạt, Lâm Đồng",Cafe,Healing,https://www.tiktok.com/@nhanphepha/video/7441582461164735762?q=Ph%C6%B0%E1%BB%9Dng%2012%20%C4%90%C3%A0%20L%E1%BA%A1t&t=1761095589442,119.669.428,1.084.769.207,"11,9669428","108,4769207"
,P059,Hồ Than Thở Đà Lạt,8:00 – 17:00,Giá vé : Chỉ từ 20.000 VND/ người,"Phường Lâm Viên - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Phường 12, Đà Lạt, Lâm Đồng) ",Pure nature,Healing,https://www.tiktok.com/@lamdongonline/video/7539536611843771649?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,119.459.441,1.084.575.564,"11,9459441","108,4575564"
Xã Tà Nung ,P060,Mê Linh Coffee Garden Đà Lạt,7:00 - 18:00,140.000 VND,"Tổ 20 Thôn 4, Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Tổ 20 thôn 4, Tà Nung, Tp. Đà Lạt, Lâm Đồng) ",Cafe,Healing,https://www.tiktok.com/@elricreviewer/video/7134189071760379162?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,119.492.946,1.084.315.292,"11,9492946","108,4315292"
,P061,Trang Trại Ong – Bee Garden Đà Lạt,8:00 - 17:30,N/A,"DDT725, Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : ĐT725, Tà Nung, Đà Lạt, Lâm Đồng) ",Healing,Manmade,https://www.tiktok.com/@nongtraiongdalat/video/7536019832685333778?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,119.241.229,1.083.622.495,"11,9241229","108,3622495"
,P062,Mongo Land Đà Lạt,07:00 – 17:30,Giá vé tham quan : Chỉ từ 100.000 VND/ người,"Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Tổ 16 thôn 1, Tà Nung, Đà Lạt, Lâm Đồng) ","50% nature, 50% human",Sporty,https://www.tiktok.com/@mongoland.farm/video/7545346677444463890?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,119.492.946,1.084.315.292,"11,9492946","108,4315292"
,P063,Chika farm,8:30 - 17:30,110.000 VND,"Tổ 4, Thôn 2 Xã Tà Nung Đà Lạt",Manmade,Healing,https://www.tiktok.com/@budicafe_/video/7334311499130883330?is_from_webapp=1&sender_device=pc&web_id=7505068192131024392,119.226.474,1.083.445.308,"11,9226474","108,3445308"
,P064,Hoa Trong Rừng Đà Lạt,5:30 - 18:30,Giá vé tham quan : Chỉ từ 65.000 VND/ người,"Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Xã Tà Nung, Thành phố Đà Lạt, Tỉnh Lâm Đồng) ","50% nature, 50% human",Healing,https://www.tiktok.com/@hongphuonghoteldalat42/video/7561405143296576784,119.492.946,1.084.315.292,"11,9492946","108,4315292"
Huyện Lạc Dương ,P065,Vườn thú ZooDoo Đà Lạt,8:00 - 16:00,Giá vé tham quan : Chỉ từ 95.000 VND/ người,"Xã Lạc Dương, Tỉnh Lâm Đồng ( Địa chỉ cũ : Tiểu khu 94A, Xã Lạc Dương, Tỉnh Lâm Đồng, Việt Nam) ",Healing,"50% nature, 50% human",https://www.tiktok.com/@julepe.sheen/video/7222865453000019227?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,121.045.631,1.085.536.512,"12,1045631","108,5536512"
,P066,Pawsome Haven Đà Lạt,9:00 - 17:30,Giá vé tham quan : Chỉ từ 95.000 VND/ người,"Xã Nam Ban Lâm Hà, Tỉnh Lâm Đồng ( Địa chỉ cũ : ĐT723, Xã Đạ Nhim, Lạc Dương, Lâm Đồng) ",Healing,"50% nature, 50% human",https://www.tiktok.com/@trantran97a/video/7402974040937352455?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,121.044.229,1.085.627.884,"12,1044229","108,5627884"
